idx,tax1,tax2,tax3,company,address,city,lat,lng,website
245,Construction,Lighting,Circular Economy,EverLights Inc,"1105 Stevenson Ct Suite 104e, Roselle, IL 60172",Roselle,41.985143,-88.053314,https://www.everlights.com/
246,Security/Cybersecurity,Academia/Research,,Evolve Security,"222 W Merchandise Mart Plz Suite 1212, Chicago, IL 60654",Chicago,41.888403,-87.635455,https://www.evolvesecurity.io/
247,Utility/Grid,Generation/Transmission,Energy Systems/Management,Exelon Corporation,"10 S Dearborn St, Chicago, IL 60603",Chicago,41.881424,-87.629724,https://www.exeloncorp.com/
248,Nuclear,Utility/Grid,,Exelon Corporation,"3 Lincoln Ctr, Villa Park, IL 60181",Villa Park,41.848035,-87.983154,https://www.exeloncorp.com/
249,Storage,Engineering,Consulting,Exponent,"525 W Monroe St Suite 1050, Chicago, IL 60661",Chicago,41.880328,-87.640348,https://www.exponent.com/
250,Nuclear,Professional Services,Energy Systems/Management,F.E. Moran,"118 N Clinton Ave, Chicago, IL 60661",Chicago,41.883843,-87.641659,https://www.femoran.com/
251,Circular Economy,Professional Services,,Falcon Green Resources,"2200 Graham St, Bartlett, IL 60103",Bartlett,42.010426,-88.260553,https://www.falcongreenresources.com/
252,Circular Economy,,,FamilyFarmed,"225 W Hubbard St Suite 650, Chicago, IL 60654",Chicago,41.889714,-87.63526,https://familyfarmed.org/
253,Media,Policy,,Farm Energy ,"35 E Wacker Dr Suite 1600, Chicago, IL  60601",Chicago,29.607582,-98.5047,http://farmenergy.org/
254,Architecture/Design,,,Farr Associates,"53 W Jackson Blvd, Chicago, IL 60604",Chicago,41.877979,-87.629566,https://www.farrside.com/
255,Coal,,,FCDH Cayman Ltd,"645 N Michigan Ave Suite 800, Chicago, IL 60611
",Chicago,41.893884,-87.623649,
256,Oil and Gas,Mobility as a Service,,Feece Oil Co.,"1700 Hubbard Dr, Batavia, IL 60510",Batavia,41.859142,-88.271601,https://www.feeceoilfuel.com/
257,Oil and Gas,Mobility as a Service,,Feece Oil Co.,"517 Twin Rail Dr, Minooka, IL 60447",Minooka,41.451873,-88.275884,https://www.feeceoilfuel.com/
258,Oil and Gas,Mobility as a Service,,Feece Oil Co.,"622 E Stevenson Rd, Ottawa, IL 61350",Ottawa,41.380187,-88.825931,https://www.feeceoilfuel.com/
